"geo_id","dataset_id","year","variable","value","NCESSCH","SCHNAM","domain","subdomain","indicator","geo_name","geo_level","metro_area"
"US53053",1,"2019","County-level real gdp","41492997.0",NA,NA,"Resources","Housing, Banking","Strength of local economy","Pierce County, Washington","County",NA
"US53053",1,"2017","Gdp percent change from preceding period","4.5",NA,NA,"Resources","Housing, Banking","Strength of local economy","Pierce County, Washington","County",NA
"US53053",1,"2018","Gdp percent change from preceding period","5.2",NA,NA,"Resources","Housing, Banking","Strength of local economy","Pierce County, Washington","County",NA
"US53053",1,"2019","Gdp percent change from preceding period","3.1",NA,NA,"Resources","Housing, Banking","Strength of local economy","Pierce County, Washington","County",NA
"US53077",1,"2016","County-level real gdp","9839521",NA,NA,"Resources","Housing, Banking","Strength of local economy","Yakima County, Washington","County",NA
"US53077",1,"2017","County-level real gdp","10157944.0",NA,NA,"Resources","Housing, Banking","Strength of local economy","Yakima County, Washington","County",NA
"US53077",1,"2018","County-level real gdp","10698626.0",NA,NA,"Resources","Housing, Banking","Strength of local economy","Yakima County, Washington","County",NA
"US53077",1,"2019","County-level real gdp","11038340.0",NA,NA,"Resources","Housing, Banking","Strength of local economy","Yakima County, Washington","County",NA
"US53077",1,"2017","Gdp percent change from preceding period","3.2",NA,NA,"Resources","Housing, Banking","Strength of local economy","Yakima County, Washington","County",NA
"US53077",1,"2018","Gdp percent change from preceding period","5.3",NA,NA,"Resources","Housing, Banking","Strength of local economy","Yakima County, Washington","County",NA
"US53077",1,"2019","Gdp percent change from preceding period","3.2",NA,NA,"Resources","Housing, Banking","Strength of local economy","Yakima County, Washington","County",NA
"US24",2,"2009","Children aged 3-4 enrolled in school (percent)","50.736088",NA,NA,"Resources","Education and Extracurriculars","Early childhood education availability","Maryland","State",NA
"US24",2,"2010","Children aged 3-4 enrolled in school (percent)","53.037773",NA,NA,"Resources","Education and Extracurriculars","Early childhood education availability","Maryland","State",NA
"US24",2,"2011","Children aged 3-4 enrolled in school (percent)","50.536007",NA,NA,"Resources","Education and Extracurriculars","Early childhood education availability","Maryland","State",NA
"US24",2,"2012","Children aged 3-4 enrolled in school (percent)","49.186275",NA,NA,"Resources","Education and Extracurriculars","Early childhood education availability","Maryland","State",NA
"US24",2,"2013","Children aged 3-4 enrolled in school (percent)","47.152023",NA,NA,"Resources","Education and Extracurriculars","Early childhood education availability","Maryland","State",NA
"US24",2,"2014","Children aged 3-4 enrolled in school (percent)","50.590767",NA,NA,"Resources","Education and Extracurriculars","Early childhood education availability","Maryland","State",NA
"US24",2,"2015","Children aged 3-4 enrolled in school (percent)","51.80872",NA,NA,"Resources","Education and Extracurriculars","Early childhood education availability","Maryland","State",NA
"US24",2,"2016","Children aged 3-4 enrolled in school (percent)","47.72187",NA,NA,"Resources","Education and Extracurriculars","Early childhood education availability","Maryland","State",NA
"US24",2,"2017","Children aged 3-4 enrolled in school (percent)","50.258221",NA,NA,"Resources","Education and Extracurriculars","Early childhood education availability","Maryland","State",NA
"US53",2,"2009","Children aged 3-4 enrolled in school (percent)","41.495056",NA,NA,"Resources","Education and Extracurriculars","Early childhood education availability","Washington","State",NA
"US53",2,"2010","Children aged 3-4 enrolled in school (percent)","39.738228",NA,NA,"Resources","Education and Extracurriculars","Early childhood education availability","Washington","State",NA
"US53",2,"2011","Children aged 3-4 enrolled in school (percent)","42.980148",NA,NA,"Resources","Education and Extracurriculars","Early childhood education availability","Washington","State",NA
"US53",2,"2012","Children aged 3-4 enrolled in school (percent)","40.443714",NA,NA,"Resources","Education and Extracurriculars","Early childhood education availability","Washington","State",NA
"US53",2,"2013","Children aged 3-4 enrolled in school (percent)","38.374176",NA,NA,"Resources","Education and Extracurriculars","Early childhood education availability","Washington","State",NA
"US53",2,"2014","Children aged 3-4 enrolled in school (percent)","40.515774",NA,NA,"Resources","Education and Extracurriculars","Early childhood education availability","Washington","State",NA
"US53",2,"2015","Children aged 3-4 enrolled in school (percent)","41.993782",NA,NA,"Resources","Education and Extracurriculars","Early childhood education availability","Washington","State",NA
"US53",2,"2016","Children aged 3-4 enrolled in school (percent)","42.586254",NA,NA,"Resources","Education and Extracurriculars","Early childhood education availability","Washington","State",NA
"US53",2,"2017","Children aged 3-4 enrolled in school (percent)","43.547016",NA,NA,"Resources","Education and Extracurriculars","Early childhood education availability","Washington","State",NA
"US24005",2,"2009","Children aged 3-4 enrolled in school (percent)","52.997692",NA,NA,"Resources","Education and Extracurriculars","Early childhood education availability","Baltimore County, Maryland","County",NA
"US24005",2,"2010","Children aged 3-4 enrolled in school (percent)","58.94828",NA,NA,"Resources","Education and Extracurriculars","Early childhood education availability","Baltimore County, Maryland","County",NA
"US24005",2,"2011","Children aged 3-4 enrolled in school (percent)","56.393345",NA,NA,"Resources","Education and Extracurriculars","Early childhood education availability","Baltimore County, Maryland","County",NA
"US24005",2,"2012","Children aged 3-4 enrolled in school (percent)","49.847759",NA,NA,"Resources","Education and Extracurriculars","Early childhood education availability","Baltimore County, Maryland","County",NA
"US53053",5,"2018","Food insecurity rate","0.118",NA,NA,"Opportunity","Basic Needs and Finance","Food Insecurity Rate by County","Pierce County, Washington","County",NA
"US24005",2,"2013","Children aged 3-4 enrolled in school (percent)","54.805534",NA,NA,"Resources","Education and Extracurriculars","Early childhood education availability","Baltimore County, Maryland","County",NA
"US24005",2,"2014","Children aged 3-4 enrolled in school (percent)","55.280052",NA,NA,"Resources","Education and Extracurriculars","Early childhood education availability","Baltimore County, Maryland","County",NA
"US24005",2,"2015","Children aged 3-4 enrolled in school (percent)","56.366814",NA,NA,"Resources","Education and Extracurriculars","Early childhood education availability","Baltimore County, Maryland","County",NA
"US24005",2,"2016","Children aged 3-4 enrolled in school (percent)","42.879646",NA,NA,"Resources","Education and Extracurriculars","Early childhood education availability","Baltimore County, Maryland","County",NA
"US24005",2,"2017","Children aged 3-4 enrolled in school (percent)","47.708313",NA,NA,"Resources","Education and Extracurriculars","Early childhood education availability","Baltimore County, Maryland","County",NA
"US24031",2,"2009","Children aged 3-4 enrolled in school (percent)","54.710724",NA,NA,"Resources","Education and Extracurriculars","Early childhood education availability","Montgomery County, Maryland","County",NA
"US24031",2,"2010","Children aged 3-4 enrolled in school (percent)","57.583195",NA,NA,"Resources","Education and Extracurriculars","Early childhood education availability","Montgomery County, Maryland","County",NA
"US24031",2,"2011","Children aged 3-4 enrolled in school (percent)","58.492886",NA,NA,"Resources","Education and Extracurriculars","Early childhood education availability","Montgomery County, Maryland","County",NA
"US24031",2,"2012","Children aged 3-4 enrolled in school (percent)","51.959747",NA,NA,"Resources","Education and Extracurriculars","Early childhood education availability","Montgomery County, Maryland","County",NA
"US24031",2,"2013","Children aged 3-4 enrolled in school (percent)","54.693371",NA,NA,"Resources","Education and Extracurriculars","Early childhood education availability","Montgomery County, Maryland","County",NA
"US24031",2,"2014","Children aged 3-4 enrolled in school (percent)","57.869881",NA,NA,"Resources","Education and Extracurriculars","Early childhood education availability","Montgomery County, Maryland","County",NA
"US24031",2,"2015","Children aged 3-4 enrolled in school (percent)","52.615158",NA,NA,"Resources","Education and Extracurriculars","Early childhood education availability","Montgomery County, Maryland","County",NA
"US24031",2,"2016","Children aged 3-4 enrolled in school (percent)","51.520664",NA,NA,"Resources","Education and Extracurriculars","Early childhood education availability","Montgomery County, Maryland","County",NA
"US24031",2,"2017","Children aged 3-4 enrolled in school (percent)","55.944641",NA,NA,"Resources","Education and Extracurriculars","Early childhood education availability","Montgomery County, Maryland","County",NA
"US24033",2,"2009","Children aged 3-4 enrolled in school (percent)","49.211884",NA,NA,"Resources","Education and Extracurriculars","Early childhood education availability","Prince George's County, Maryland","County",NA
"US24033",2,"2010","Children aged 3-4 enrolled in school (percent)","55.098106",NA,NA,"Resources","Education and Extracurriculars","Early childhood education availability","Prince George's County, Maryland","County",NA
"US24033",2,"2011","Children aged 3-4 enrolled in school (percent)","45.149471",NA,NA,"Resources","Education and Extracurriculars","Early childhood education availability","Prince George's County, Maryland","County",NA
"US24033",2,"2012","Children aged 3-4 enrolled in school (percent)","46.946224",NA,NA,"Resources","Education and Extracurriculars","Early childhood education availability","Prince George's County, Maryland","County",NA
"US24033",2,"2013","Children aged 3-4 enrolled in school (percent)","43.094048",NA,NA,"Resources","Education and Extracurriculars","Early childhood education availability","Prince George's County, Maryland","County",NA
"US24033",2,"2014","Children aged 3-4 enrolled in school (percent)","47.041199",NA,NA,"Resources","Education and Extracurriculars","Early childhood education availability","Prince George's County, Maryland","County",NA
"US24033",2,"2015","Children aged 3-4 enrolled in school (percent)","44.531075",NA,NA,"Resources","Education and Extracurriculars","Early childhood education availability","Prince George's County, Maryland","County",NA
"US24033",2,"2016","Children aged 3-4 enrolled in school (percent)","37.385483",NA,NA,"Resources","Education and Extracurriculars","Early childhood education availability","Prince George's County, Maryland","County",NA
"US24033",2,"2017","Children aged 3-4 enrolled in school (percent)","47.444771",NA,NA,"Resources","Education and Extracurriculars","Early childhood education availability","Prince George's County, Maryland","County",NA
"US53033",2,"2009","Children aged 3-4 enrolled in school (percent)","48.458298",NA,NA,"Resources","Education and Extracurriculars","Early childhood education availability","King County, Washington","County",NA
"US53033",2,"2010","Children aged 3-4 enrolled in school (percent)","50.387955",NA,NA,"Resources","Education and Extracurriculars","Early childhood education availability","King County, Washington","County",NA
"US53033",2,"2011","Children aged 3-4 enrolled in school (percent)","48.265446",NA,NA,"Resources","Education and Extracurriculars","Early childhood education availability","King County, Washington","County",NA
"US53033",2,"2012","Children aged 3-4 enrolled in school (percent)","47.422031",NA,NA,"Resources","Education and Extracurriculars","Early childhood education availability","King County, Washington","County",NA
"US53033",2,"2013","Children aged 3-4 enrolled in school (percent)","51.491009",NA,NA,"Resources","Education and Extracurriculars","Early childhood education availability","King County, Washington","County",NA
"US53033",2,"2014","Children aged 3-4 enrolled in school (percent)","47.764393",NA,NA,"Resources","Education and Extracurriculars","Early childhood education availability","King County, Washington","County",NA
"US53033",2,"2015","Children aged 3-4 enrolled in school (percent)","50.932915",NA,NA,"Resources","Education and Extracurriculars","Early childhood education availability","King County, Washington","County",NA
"US53033",2,"2016","Children aged 3-4 enrolled in school (percent)","54.074532",NA,NA,"Resources","Education and Extracurriculars","Early childhood education availability","King County, Washington","County",NA
"US53033",2,"2017","Children aged 3-4 enrolled in school (percent)","52.622532",NA,NA,"Resources","Education and Extracurriculars","Early childhood education availability","King County, Washington","County",NA
"US53053",2,"2009","Children aged 3-4 enrolled in school (percent)","33.658665",NA,NA,"Resources","Education and Extracurriculars","Early childhood education availability","Pierce County, Washington","County",NA
"US53053",2,"2010","Children aged 3-4 enrolled in school (percent)","36.01572",NA,NA,"Resources","Education and Extracurriculars","Early childhood education availability","Pierce County, Washington","County",NA
"US53053",2,"2011","Children aged 3-4 enrolled in school (percent)","37.838642",NA,NA,"Resources","Education and Extracurriculars","Early childhood education availability","Pierce County, Washington","County",NA
"US53053",2,"2012","Children aged 3-4 enrolled in school (percent)","32.827637",NA,NA,"Resources","Education and Extracurriculars","Early childhood education availability","Pierce County, Washington","County",NA
"US53053",2,"2013","Children aged 3-4 enrolled in school (percent)","28.220009",NA,NA,"Resources","Education and Extracurriculars","Early childhood education availability","Pierce County, Washington","County",NA
"US53053",2,"2014","Children aged 3-4 enrolled in school (percent)","31.591684",NA,NA,"Resources","Education and Extracurriculars","Early childhood education availability","Pierce County, Washington","County",NA
"US53053",2,"2015","Children aged 3-4 enrolled in school (percent)","30.699154",NA,NA,"Resources","Education and Extracurriculars","Early childhood education availability","Pierce County, Washington","County",NA
"US53053",2,"2016","Children aged 3-4 enrolled in school (percent)","36.720638",NA,NA,"Resources","Education and Extracurriculars","Early childhood education availability","Pierce County, Washington","County",NA
"US53053",2,"2017","Children aged 3-4 enrolled in school (percent)","34.27533",NA,NA,"Resources","Education and Extracurriculars","Early childhood education availability","Pierce County, Washington","County",NA
"US53077",2,"2009","Children aged 3-4 enrolled in school (percent)","22.33604",NA,NA,"Resources","Education and Extracurriculars","Early childhood education availability","Yakima County, Washington","County",NA
"US53077",2,"2010","Children aged 3-4 enrolled in school (percent)","28.917467",NA,NA,"Resources","Education and Extracurriculars","Early childhood education availability","Yakima County, Washington","County",NA
"US53077",2,"2011","Children aged 3-4 enrolled in school (percent)","34.777405",NA,NA,"Resources","Education and Extracurriculars","Early childhood education availability","Yakima County, Washington","County",NA
"US53077",2,"2012","Children aged 3-4 enrolled in school (percent)","25.660339",NA,NA,"Resources","Education and Extracurriculars","Early childhood education availability","Yakima County, Washington","County",NA
"US53077",2,"2013","Children aged 3-4 enrolled in school (percent)","27.449694",NA,NA,"Resources","Education and Extracurriculars","Early childhood education availability","Yakima County, Washington","County",NA
"US53077",2,"2014","Children aged 3-4 enrolled in school (percent)","24.054359",NA,NA,"Resources","Education and Extracurriculars","Early childhood education availability","Yakima County, Washington","County",NA
"US53077",2,"2015","Children aged 3-4 enrolled in school (percent)","30.133701",NA,NA,"Resources","Education and Extracurriculars","Early childhood education availability","Yakima County, Washington","County",NA
"US53077",2,"2016","Children aged 3-4 enrolled in school (percent)","25.029898",NA,NA,"Resources","Education and Extracurriculars","Early childhood education availability","Yakima County, Washington","County",NA
"US53077",2,"2017","Children aged 3-4 enrolled in school (percent)","30.065149",NA,NA,"Resources","Education and Extracurriculars","Early childhood education availability","Yakima County, Washington","County",NA
"US24510",2,"2009","Children aged 3-4 enrolled in school (percent)","48.434326",NA,NA,"Resources","Education and Extracurriculars","Early childhood education availability","Baltimore city, Maryland","County",NA
"US24510",2,"2010","Children aged 3-4 enrolled in school (percent)","48.483463",NA,NA,"Resources","Education and Extracurriculars","Early childhood education availability","Baltimore city, Maryland","County",NA
"US24510",2,"2011","Children aged 3-4 enrolled in school (percent)","46.118587",NA,NA,"Resources","Education and Extracurriculars","Early childhood education availability","Baltimore city, Maryland","County",NA
"US24510",2,"2012","Children aged 3-4 enrolled in school (percent)","50.250198",NA,NA,"Resources","Education and Extracurriculars","Early childhood education availability","Baltimore city, Maryland","County",NA
"US24510",2,"2013","Children aged 3-4 enrolled in school (percent)","50.869518",NA,NA,"Resources","Education and Extracurriculars","Early childhood education availability","Baltimore city, Maryland","County",NA
"US24510",2,"2014","Children aged 3-4 enrolled in school (percent)","52.448524",NA,NA,"Resources","Education and Extracurriculars","Early childhood education availability","Baltimore city, Maryland","County",NA
"US24510",2,"2015","Children aged 3-4 enrolled in school (percent)","57.137894",NA,NA,"Resources","Education and Extracurriculars","Early childhood education availability","Baltimore city, Maryland","County",NA
"US24510",2,"2016","Children aged 3-4 enrolled in school (percent)","48.079781",NA,NA,"Resources","Education and Extracurriculars","Early childhood education availability","Baltimore city, Maryland","County",NA
"US24510",2,"2017","Children aged 3-4 enrolled in school (percent)","47.519981",NA,NA,"Resources","Education and Extracurriculars","Early childhood education availability","Baltimore city, Maryland","County",NA
"US24005400100",2,"2008-2012","Children aged 3-4 enrolled in school (percent)","69.135803",NA,NA,"Resources","Education and Extracurriculars","Early childhood education availability","Census Tract 4001, Baltimore County, Maryland","Tract",NA
"US24005400100",2,"2013-2017","Children aged 3-4 enrolled in school (percent)","16.666668",NA,NA,"Resources","Education and Extracurriculars","Early childhood education availability","Census Tract 4001, Baltimore County, Maryland","Tract",NA
"US24005400200",2,"2008-2012","Children aged 3-4 enrolled in school (percent)","63.636364",NA,NA,"Resources","Education and Extracurriculars","Early childhood education availability","Census Tract 4002, Baltimore County, Maryland","Tract",NA
"US24005400200",2,"2013-2017","Children aged 3-4 enrolled in school (percent)","0.0",NA,NA,"Resources","Education and Extracurriculars","Early childhood education availability","Census Tract 4002, Baltimore County, Maryland","Tract",NA
"US24005400400",2,"2008-2012","Children aged 3-4 enrolled in school (percent)","74.34211",NA,NA,"Resources","Education and Extracurriculars","Early childhood education availability","Census Tract 4004, Baltimore County, Maryland","Tract",NA
"US24005400400",2,"2013-2017","Children aged 3-4 enrolled in school (percent)","17.073172",NA,NA,"Resources","Education and Extracurriculars","Early childhood education availability","Census Tract 4004, Baltimore County, Maryland","Tract",NA
"US24005400500",2,"2008-2012","Children aged 3-4 enrolled in school (percent)","72.727272",NA,NA,"Resources","Education and Extracurriculars","Early childhood education availability","Census Tract 4005, Baltimore County, Maryland","Tract",NA
"US24005400500",2,"2013-2017","Children aged 3-4 enrolled in school (percent)","88.0",NA,NA,"Resources","Education and Extracurriculars","Early childhood education availability","Census Tract 4005, Baltimore County, Maryland","Tract",NA
"US24005400600",2,"2008-2012","Children aged 3-4 enrolled in school (percent)","100.0",NA,NA,"Resources","Education and Extracurriculars","Early childhood education availability","Census Tract 4006, Baltimore County, Maryland","Tract",NA
"US24005400600",2,"2013-2017","Children aged 3-4 enrolled in school (percent)","100.0",NA,NA,"Resources","Education and Extracurriculars","Early childhood education availability","Census Tract 4006, Baltimore County, Maryland","Tract",NA
"US53077",5,"2018","Food insecurity rate","0.125",NA,NA,"Opportunity","Basic Needs and Finance","Food Insecurity Rate by County","Yakima County, Washington","County",NA
"US24005400701",2,"2008-2012","Children aged 3-4 enrolled in school (percent)","100.0",NA,NA,"Resources","Education and Extracurriculars","Early childhood education availability","Census Tract 4007.01, Baltimore County, Maryland","Tract",NA
"US24005400701",2,"2013-2017","Children aged 3-4 enrolled in school (percent)","85.89743",NA,NA,"Resources","Education and Extracurriculars","Early childhood education availability","Census Tract 4007.01, Baltimore County, Maryland","Tract",NA
"US24005400702",2,"2008-2012","Children aged 3-4 enrolled in school (percent)","100.0",NA,NA,"Resources","Education and Extracurriculars","Early childhood education availability","Census Tract 4007.02, Baltimore County, Maryland","Tract",NA
"US24005400702",2,"2013-2017","Children aged 3-4 enrolled in school (percent)","61.111111",NA,NA,"Resources","Education and Extracurriculars","Early childhood education availability","Census Tract 4007.02, Baltimore County, Maryland","Tract",NA
"US24005400800",2,"2008-2012","Children aged 3-4 enrolled in school (percent)","62.962959",NA,NA,"Resources","Education and Extracurriculars","Early childhood education availability","Census Tract 4008, Baltimore County, Maryland","Tract",NA
"US24005400800",2,"2013-2017","Children aged 3-4 enrolled in school (percent)","100.0",NA,NA,"Resources","Education and Extracurriculars","Early childhood education availability","Census Tract 4008, Baltimore County, Maryland","Tract",NA
"US24005400900",2,"2008-2012","Children aged 3-4 enrolled in school (percent)","30.188679",NA,NA,"Resources","Education and Extracurriculars","Early childhood education availability","Census Tract 4009, Baltimore County, Maryland","Tract",NA
"US24005400900",2,"2013-2017","Children aged 3-4 enrolled in school (percent)","74.647888",NA,NA,"Resources","Education and Extracurriculars","Early childhood education availability","Census Tract 4009, Baltimore County, Maryland","Tract",NA
"US24005401000",2,"2008-2012","Children aged 3-4 enrolled in school (percent)","92.079208",NA,NA,"Resources","Education and Extracurriculars","Early childhood education availability","Census Tract 4010, Baltimore County, Maryland","Tract",NA
"US24005401000",2,"2013-2017","Children aged 3-4 enrolled in school (percent)","71.875",NA,NA,"Resources","Education and Extracurriculars","Early childhood education availability","Census Tract 4010, Baltimore County, Maryland","Tract",NA
"US24005401101",2,"2008-2012","Children aged 3-4 enrolled in school (percent)","48.026314",NA,NA,"Resources","Education and Extracurriculars","Early childhood education availability","Census Tract 4011.01, Baltimore County, Maryland","Tract",NA
"US24005401101",2,"2013-2017","Children aged 3-4 enrolled in school (percent)","52.63158",NA,NA,"Resources","Education and Extracurriculars","Early childhood education availability","Census Tract 4011.01, Baltimore County, Maryland","Tract",NA
"US24005401102",2,"2008-2012","Children aged 3-4 enrolled in school (percent)","100.0",NA,NA,"Resources","Education and Extracurriculars","Early childhood education availability","Census Tract 4011.02, Baltimore County, Maryland","Tract",NA
"US24005401102",2,"2013-2017","Children aged 3-4 enrolled in school (percent)","22.727274",NA,NA,"Resources","Education and Extracurriculars","Early childhood education availability","Census Tract 4011.02, Baltimore County, Maryland","Tract",NA
"US24005401200",2,"2008-2012","Children aged 3-4 enrolled in school (percent)","50.574715",NA,NA,"Resources","Education and Extracurriculars","Early childhood education availability","Census Tract 4012, Baltimore County, Maryland","Tract",NA
"US24005401200",2,"2013-2017","Children aged 3-4 enrolled in school (percent)","68.518517",NA,NA,"Resources","Education and Extracurriculars","Early childhood education availability","Census Tract 4012, Baltimore County, Maryland","Tract",NA
"US24005401301",2,"2008-2012","Children aged 3-4 enrolled in school (percent)","98.305084",NA,NA,"Resources","Education and Extracurriculars","Early childhood education availability","Census Tract 4013.01, Baltimore County, Maryland","Tract",NA
"US24005401301",2,"2013-2017","Children aged 3-4 enrolled in school (percent)","67.741936",NA,NA,"Resources","Education and Extracurriculars","Early childhood education availability","Census Tract 4013.01, Baltimore County, Maryland","Tract",NA
"US24005401302",2,"2008-2012","Children aged 3-4 enrolled in school (percent)","31.578945",NA,NA,"Resources","Education and Extracurriculars","Early childhood education availability","Census Tract 4013.02, Baltimore County, Maryland","Tract",NA
